TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
3681,-71.147500,42.244500,22.6,22.6,0.13642,0.0,10.59,0,489,5891,22.3,3.9454,4,277,18.6,396.90,10.87
3682,-71.150000,42.230800,24.4,24.4,0.22969,0.0,10.59,0,489,6326,52.5,4.3549,4,277,18.6,394.87,10.97
3683,-71.149000,42.226800,22.5,22.5,0.25199,0.0,10.59,0,489,5783,72.7,4.3549,4,277,18.6,389.43,18.06
3684,-71.150300,42.222000,24.4,24.4,0.13587,0.0,10.59,1,489,6064,59.1,4.2392,4,277,18.6,381.32,14.66
3685,-71.143000,42.221700,20.0,20.0,0.43571,0.0,10.59,1,489,5344,100.0,3.8750,4,277,18.6,396.90,23.09
3686,-71.143500,42.217700,21.7,21.7,0.17446,0.0,10.59,1,489,5960,92.1,3.8771,4,277,18.6,393.25,17.27
3687,-71.138000,42.221600,19.3,19.3,0.37578,0.0,10.59,1,489,5404,88.6,3.6650,4,277,18.6,395.24,23.98
3688,-71.133500,42.225000,22.4,22.4,0.21719,0.0,10.59,1,489,5807,53.8,3.6526,4,277,18.6,390.94,16.03
3689,-71.137500,42.235500,28.1,28.1,0.14052,0.0,10.59,0,489,6375,32.3,3.9454,4,277,18.6,385.81,9.38
3690,-71.127000,42.235000,23.7,23.7,0.28955,0.0,10.59,0,489,5412,9.8,3.5875,4,277,18.6,348.93,29.55
3691,-71.124500,42.227700,25.0,25.0,0.19802,0.0,10.59,0,489,6182,42.4,3.9454,4,277,18.6,393.63,9.47
3701,-71.116600,42.223000,23.3,23.3,0.04560,0.0,13.89,1,0.55,5888,56.0,3.1121,5,276,16.4,392.80,13.51
3702,-71.105000,42.223500,28.7,28.7,0.07013,0.0,13.89,0,0.55,6642,85.1,3.4211,5,276,16.4,392.78,9.69
3703,-71.093300,42.222000,21.5,21.5,0.11069,0.0,13.89,1,0.55,5951,93.8,2.8893,5,276,16.4,396.90,17.92
3704,-71.106000,42.218500,23.0,23.0,0.11425,0.0,13.89,1,0.55,6373,92.4,3.3633,5,276,16.4,393.74,10.50
3731,-71.110000,42.213700,26.7,26.7,0.35809,0.0,6.2,1,507,6951,88.5,2.8617,8,307,17.4,391.70,9.71
3732,-71.121000,42.216600,21.7,21.7,0.40771,0.0,6.2,1,507,6164,91.3,3.0480,8,307,17.4,395.24,21.46
3733,-71.125000,42.213400,27.5,27.5,0.62356,0.0,6.2,1,507,6879,77.7,3.2721,8,307,17.4,390.39,9.93
3734,-71.120800,42.218300,30.1,30.1,0.61470,0.0,6.2,0,507,6618,80.8,3.2721,8,307,17.4,396.90,7.60
3735,-71.110000,42.206000,44.8,44.8,0.31533,0.0,6.2,0,504,8266,78.3,2.8944,8,307,17.4,385.05,4.14
3736,-71.101200,42.197500,50.0,50.0,0.52693,0.0,6.2,0,504,8725,83.0,2.8944,8,307,17.4,382.00,4.63
3737,-71.121500,42.202500,37.6,37.6,0.38214,0.0,6.2,0,504,8040,86.5,3.2157,8,307,17.4,387.38,3.13
3738,-71.116000,42.194700,31.6,31.6,0.41238,0.0,6.2,0,504,7163,79.9,3.2157,8,307,17.4,372.08,6.36
3739,-71.110000,42.185000,46.7,46.7,0.29819,0.0,6.2,0,504,7686,17.0,3.3751,8,307,17.4,377.51,3.92
3740,-71.119000,42.180700,31.5,31.5,0.44178,0.0,6.2,0,504,6552,21.4,3.3751,8,307,17.4,380.34,3.76
3741,-71.130000,42.188000,24.3,24.3,0.53700,0.0,6.2,0,504,5981,68.1,3.6715,8,307,17.4,378.35,11.65
3742,-71.128500,42.193000,31.7,31.7,0.46296,0.0,6.2,0,504,7412,76.9,3.6715,8,307,17.4,376.14,5.25
3743,-71.140000,42.194600,41.7,41.7,0.57529,0.0,6.2,0,507,8337,73.3,3.8384,8,307,17.4,385.91,2.47
3744,-71.134000,42.204000,48.3,48.3,0.33147,0.0,6.2,0,507,8247,70.4,3.6519,8,307,17.4,378.95,3.95
3745,-71.132000,42.214200,29.0,29.0,0.44791,0.0,6.2,1,507,6726,66.5,3.6519,8,307,17.4,360.20,8.05
3746,-71.138000,42.214100,24.0,24.0,0.33045,0.0,6.2,0,507,6086,61.5,3.6519,8,307,17.4,376.75,10.88
3747,-71.148500,42.211000,25.1,25.1,0.52058,0.0,6.2,1,507,6631,76.5,4.1480,8,307,17.4,388.45,9.54
3748,-71.149100,42.203000,31.5,31.5,0.51183,0.0,6.2,0,507,7358,71.6,4.1480,8,307,17.4,390.07,4.73
3821,-71.205500,42.187500,23.7,23.7,0.08244,30.0,4.93,0,428,6481,18.5,6.1899,6,300,16.6,379.41,6.36
3822,-71.203500,42.187000,23.3,23.3,0.09252,30.0,4.93,0,428,6606,42.2,6.1899,6,300,16.6,383.78,7.37
3823,-71.196600,42.164000,22.0,27.0,0.11329,30.0,4.93,0,428,6897,54.3,6.3361,6,300,16.6,391.25,11.38
3824,-71.213800,42.164500,20.1,20.1,0.10612,30.0,4.93,0,428,6095,65.1,6.3361,6,300,16.6,394.62,12.40
3825,-71.220000,42.178200,22.2,22.2,0.10290,30.0,4.93,0,428,6358,52.9,7.0355,6,300,16.6,372.75,11.22
3826,-71.232000,42.172500,23.7,23.7,0.12757,30.0,4.93,0,428,6393,7.8,7.0355,6,300,16.6,374.71,5.19
3831,-71.243500,42.163000,17.6,17.6,0.20608,22.0,5.86,0,431,5593,76.5,7.9549,7,330,19.1,372.49,12.50
3832,-71.257500,42.161800,18.5,18.5,0.19133,22.0,5.86,0,431,5605,70.2,7.9549,7,330,19.1,389.13,18.46
3833,-71.262000,42.169000,24.3,24.3,0.33983,22.0,5.86,0,431,6108,34.9,8.0555,7,330,19.1,390.18,9.16
3834,-71.247000,42.170300,20.5,20.5,0.19657,22.0,5.86,0,431,6226,79.2,8.0555,7,330,19.1,376.14,10.15
3835,-71.255000,42.176700,24.5,24.5,0.16439,22.0,5.86,0,431,6433,49.1,7.8265,7,330,19.1,374.71,9.52
3836,-71.247500,42.182500,26.2,26.2,0.19073,22.0,5.86,0,431,6718,17.5,7.8265,7,330,19.1,393.74,6.56
3837,-71.238000,42.191000,24.4,24.4,0.14030,22.0,5.86,0,431,6487,13.0,7.3967,7,330,19.1,396.28,5.90
3838,-71.243500,42.198200,24.8,24.8,0.21409,22.0,5.86,0,431,6438,8.9,7.3967,7,330,19.1,377.07,3.59
3839,-71.268500,42.193500,29.6,29.6,0.08221,22.0,5.86,0,431,6957,6.8,8.9067,7,330,19.1,386.09,3.53
3840,-71.280700,42.172700,42.8,42.8,0.36894,22.0,5.86,0,431,8259,8.4,8.9067,7,330,19.1,396.90,3.54
3851,-71.289500,42.157500,21.9,21.9,0.04819,80.0,3.64,0,392,6108,32.0,9.2203,1,315,16.4,392.89,6.57
3852,-71.269000,42.148200,20.9,20.9,0.03548,80.0,3.64,0,392,5876,19.1,9.2203,1,315,16.4,395.18,9.25
3861,-71.223000,42.145000,44.0,44.0,0.01538,90.0,3.75,0,394,7454,34.2,6.3361,3,244,15.9,386.34,3.11
4001,-71.067900,42.207300,50.0,50.0,0.61154,20.0,3.97,0,647,8704,86.9,1.8010,5,264,13.0,389.70,5.12
4002,-71.072700,42.207700,36.0,36.0,0.66351,20.0,3.97,0,647,7333,100.0,1.8946,5,264,13.0,383.29,7.79
4003,-71.076500,42.207500,30.1,30.1,0.65665,20.0,3.97,0,647,6842,100.0,2.0107,5,264,13.0,391.93,6.90
4004,-71.080000,42.204000,33.8,33.8,0.54011,20.0,3.97,0,647,7203,81.8,2.1121,5,264,13.0,392.80,9.59
4005,-71.079000,42.202000,43.1,43.1,0.53412,20.0,3.97,0,647,7520,89.4,2.1398,5,264,13.0,388.37,7.26
4006,-71.083500,42.200000,48.8,48.8,0.52014,20.0,3.97,0,647,8398,91.5,2.2885,5,264,13.0,386.86,5.91
4007,-71.075000,42.198000,31.0,31.0,0.82526,20.0,3.97,0,647,7327,94.5,2.0788,5,264,13.0,393.42,11.25
4008,-71.071000,42.203000,36.5,36.5,0.55007,20.0,3.97,0,647,7206,91.6,1.9301,5,264,13.0,387.89,8.10
4009,-71.070000,42.200000,22.8,22.8,0.76162,20.0,3.97,0,647,5560,62.8,1.9865,5,264,13.0,392.40,10.45
4010,-71.072500,42.196500,30.7,30.7,0.78570,20.0,3.97,0,647,7014,84.6,2.1329,5,264,13.0,384.07,14.79
4011,-71.085000,42.192500,50.0,50.0,0.57834,20.0,3.97,0,575,8297,67.0,2.4216,5,264,13.0,384.54,7.44
4012,-71.092500,42.207500,43.5,43.5,0.54050,20.0,3.97,0,575,7470,52.6,2.8720,5,264,13.0,390.30,3.16
4021,-71.098000,42.154000,20.7,20.7,0.09065,20.0,6.96,1,464,5920,61.5,3.9175,3,223,18.6,391.34,13.65
4022,-71.087000,42.141000,21.1,21.1,0.29916,20.0,6.96,0,464,5856,42.1,4.4290,3,223,18.6,388.65,13.00
4023,-71.094000,42.135500,25.2,25.2,0.16211,20.0,6.96,0,464,6240,16.3,4.4290,3,223,18.6,396.90,6.59
4024,-71.098200,42.144500,24.4,24.4,0.11460,20.0,6.96,0,464,6538,58.7,3.9175,3,223,18.6,394.96,7.73
4025,-71.117000,42.151000,35.2,35.2,0.22188,20.0,6.96,1,464,7691,51.8,4.3665,3,223,18.6,390.77,6.58
4031,-71.130500,42.167500,32.4,32.4,0.05644,40.0,6.41,1,447,6758,32.9,4.0776,4,254,17.6,396.90,3.53
4032,-71.138000,42.173300,32.0,32.0,0.09604,40.0,6.41,0,447,6854,42.8,4.2673,4,254,17.6,396.90,2.98
4033,-71.140500,42.163200,33.2,33.2,0.10469,40.0,6.41,1,447,7267,49.0,4.7872,4,254,17.6,389.25,6.05
4034,-71.149500,42.173000,33.1,33.1,0.06127,40.0,6.41,1,447,6826,27.6,4.8628,4,254,17.6,393.45,4.16
4035,-71.139500,42.181300,29.1,29.1,0.07978,40.0,6.41,0,447,6482,32.1,4.1403,4,254,17.6,396.90,7.19
4041,-71.148000,42.188000,35.1,35.1,0.21038,20.0,3.33,0,0.4429,6812,32.2,4.1007,5,216,14.9,396.90,4.85
4042,-71.166000,42.187000,45.4,45.4,0.03578,20.0,3.33,0,0.4429,7820,64.5,4.6947,5,216,14.9,387.31,3.76
4043,-71.185000,42.184800,35.4,35.4,0.03705,20.0,3.33,0,0.4429,6968,37.2,5.2447,5,216,14.9,392.23,4.59
4044,-71.177500,42.173500,46.0,46.0,0.06129,20.0,3.33,1,0.4429,7645,49.7,5.2119,5,216,14.9,377.07,3.01
4051,-71.173000,42.147500,50.0,50.0,0.01501,90.0,1.21,1,401,7923,24.8,5.8850,1,198,13.6,395.52,3.16
4061,-71.180000,42.110500,32.2,32.2,0.00906,90.0,2.97,0,0.4,7088,20.8,7.3073,1,285,15.3,394.72,7.85
4071,-71.213500,42.100000,22.0,22.0,0.01096,55.0,2.25,0,389,6453,31.9,7.3073,1,300,15.3,394.72,8.23
4091,-71.195000,42.067500,20.1,20.1,0.01965,80.0,1.76,0,385,6230,31.5,9.0892,1,241,18.2,341.60,12.93
4111,-71.148000,42.077500,23.2,23.2,0.03871,52.5,5.32,0,405,6209,31.3,7.3172,6,293,16.6,396.90,7.14
4112,-71.132500,42.094000,22.3,22.3,0.04590,52.5,5.32,0,405,6315,45.6,7.3172,6,293,16.6,396.90,7.60
4113,-71.155000,42.098000,24.8,24.8,0.04297,52.5,5.32,0,405,6565,22.9,7.3172,6,293,16.6,371.72,9.51
4121,-71.138500,42.123500,28.5,28.5,0.03502,80.0,4.95,0,411,6861,27.9,5.1167,4,245,19.2,396.90,3.33
4122,-71.133000,42.140800,37.3,37.3,0.07886,80.0,4.95,0,411,7148,27.7,5.1167,4,245,19.2,396.90,3.56
4123,-71.107000,42.130700,27.9,27.9,0.03615,80.0,4.95,0,411,6630,23.4,5.1167,4,245,19.2,396.90,4.70
4131,-71.109000,42.110000,23.9,23.9,0.08265,0.0,13.92,0,437,6127,18.4,5.5027,4,289,16.0,396.90,8.58
4132,-71.118000,42.121700,21.7,21.7,0.08199,0.0,13.92,0,437,6009,42.3,5.5027,4,289,16.0,396.90,10.40
4133,-71.130900,42.116600,28.6,28.6,0.12932,0.0,13.92,0,437,6678,31.1,5.9604,4,289,16.0,396.90,6.27
4134,-71.128000,42.110800,27.1,27.1,0.05372,0.0,13.92,0,437,6549,51.0,5.9604,4,289,16.0,392.85,7.39
4135,-71.121000,42.102500,20.3,20.3,0.14103,0.0,13.92,0,437,5790,58.0,6.3200,4,289,16.0,396.90,15.84
4141,-71.120000,42.072500,22.5,22.5,0.06466,70.0,2.24,0,0.4,6345,20.1,7.8278,5,358,14.8,368.24,4.97
4142,-71.100000,42.059000,29.0,29.0,0.05561,70.0,2.24,0,0.4,7041,10.0,7.8278,5,358,14.8,371.58,4.74
4143,-71.103500,42.073500,24.8,24.8,0.04417,70.0,2.24,0,0.4,6871,47.4,7.8278,5,358,14.8,390.86,6.07
4151,-71.087500,42.095000,22.0,22.0,0.03537,34.0,6.09,0,433,6590,40.4,5.4917,7,329,16.1,395.75,9.50
4152,-71.062500,42.102000,26.4,26.4,0.09266,34.0,6.09,0,433,6495,18.4,5.4917,7,329,16.1,383.61,8.67
4153,-71.086500,42.120000,33.1,33.1,0.10000,34.0,6.09,0,433,6982,17.7,5.4917,7,329,16.1,390.43,4.86
4161,-71.046500,42.145000,36.1,36.1,0.05515,33.0,2.18,0,472,7236,41.1,4.0220,7,222,18.4,393.68,6.93
4162,-71.057000,42.152500,28.4,28.4,0.05479,33.0,2.18,0,472,6616,58.1,3.3700,7,222,18.4,393.36,8.93
4163,-71.045000,42.159000,33.4,33.4,0.07503,33.0,2.18,0,472,7420,71.9,3.0992,7,222,18.4,396.90,6.47
4164,-71.028000,42.156500,28.2,28.2,0.04932,33.0,2.18,0,472,6849,70.3,3.1827,7,222,18.4,396.90,7.53
4171,-71.013800,42.155500,22.8,22.8,0.49298,0.0,9.9,0,544,6635,82.5,3.3175,4,304,18.4,396.90,4.54
4172,-71.020100,42.160000,20.3,20.3,0.34940,0.0,9.9,0,544,5972,76.7,3.1025,4,304,18.4,396.24,9.97
4173,-71.016000,42.176000,16.1,16.1,2.63548,0.0,9.9,0,544,4973,37.8,2.5194,4,304,18.4,350.45,12.64
4174,-71.007500,42.178000,22.1,22.1,0.79041,0.0,9.9,0,544,6122,52.8,2.6403,4,304,18.4,396.90,5.98
4175,-71.015000,42.167000,19.4,19.4,0.26169,0.0,9.9,0,544,6023,90.4,2.8340,4,304,18.4,396.30,11.72
4176,-71.007500,42.161300,21.6,21.6,0.26938,0.0,9.9,0,544,6266,82.8,3.2628,4,304,18.4,393.39,7.90
4177,-71.000000,42.153000,23.8,23.8,0.36920,0.0,9.9,0,544,6567,87.3,3.6023,4,304,18.4,395.69,9.28
4178,-70.979500,42.158000,16.2,16.2,0.25356,0.0,9.9,0,544,5705,77.7,3.9450,4,304,18.4,396.42,11.50
4179,-70.988000,42.148500,17.8,17.8,0.31827,0.0,9.9,0,544,5914,83.2,3.9986,4,304,18.4,390.70,18.33
4180,-71.004000,42.142500,19.8,19.8,0.24522,0.0,9.9,0,544,5782,71.7,4.0317,4,304,18.4,396.90,15.94
4181,-71.010000,42.150000,23.1,23.1,0.40202,0.0,9.9,0,544,6382,67.2,3.5325,4,304,18.4,395.21,10.36
4182,-71.020000,42.151000,21.0,21.0,0.47547,0.0,9.9,0,544,6113,58.8,4.0019,4,304,18.4,396.23,12.73
4191,-71.008500,42.129000,23.8,23.8,0.16760,0.0,7.38,0,493,6426,52.3,4.5404,5,287,19.6,396.90,7.20
4192,-70.997500,42.134000,23.1,23.1,0.18159,0.0,7.38,0,493,6376,54.3,4.5404,5,287,19.6,396.90,6.87
4193,-70.990000,42.136700,20.4,20.4,0.35114,0.0,7.38,0,493,6041,49.9,4.7211,5,287,19.6,396.90,7.70
4194,-70.983400,42.137500,18.5,18.5,0.28392,0.0,7.38,0,493,5708,74.3,4.7211,5,287,19.6,391.13,11.74
4195,-70.989500,42.126500,25.0,25.0,0.34109,0.0,7.38,0,493,6415,40.1,4.7211,5,287,19.6,396.90,6.12
4196,-71.000000,42.106600,24.6,24.6,0.19186,0.0,7.38,0,493,6431,14.7,5.4159,5,287,19.6,393.68,5.08
4197,-70.999500,42.117500,23.0,23.0,0.30347,0.0,7.38,0,493,6312,28.9,5.4159,5,287,19.6,396.90,6.15
4198,-71.010000,42.121500,22.2,22.2,0.24103,0.0,7.38,0,493,6083,43.7,5.4159,5,287,19.6,396.90,12.79
4201,-71.027500,42.113000,19.3,19.3,0.06617,0.0,3.24,0,0.46,5868,25.8,5.2146,4,430,16.9,382.44,9.97
4202,-71.041500,42.115000,22.6,22.6,0.06724,0.0,3.24,0,0.46,6333,17.2,5.2146,4,430,16.9,375.21,7.34
4203,-71.025000,42.098000,19.8,19.8,0.04544,0.0,3.24,0,0.46,6144,32.2,5.8736,4,430,16.9,368.57,9.09
4211,-71.011500,42.086500,17.1,17.1,0.05023,35.0,6.06,0,0.4379,5706,28.4,6.6407,1,304,16.9,394.02,12.43
4212,-70.996000,42.089500,19.4,19.4,0.03466,35.0,6.06,0,0.4379,6031,23.3,6.6407,1,304,16.9,362.25,7.83
4221,-70.979500,42.099500,22.2,22.2,0.05083,0.0,5.19,0,515,6316,38.1,6.4584,5,224,20.2,389.71,5.68
4222,-70.965000,42.101000,20.7,20.7,0.03738,0.0,5.19,0,515,6310,38.5,6.4584,5,224,20.2,389.40,6.75
4223,-70.970000,42.115000,21.1,21.1,0.03961,0.0,5.19,0,515,6037,34.5,5.9853,5,224,20.2,396.90,8.01
4224,-70.976000,42.128000,19.5,19.5,0.03427,0.0,5.19,0,515,5869,46.3,5.2311,5,224,20.2,396.90,9.80
4225,-70.960200,42.127000,18.5,18.5,0.03041,0.0,5.19,0,515,5895,59.6,5.6150,5,224,20.2,394.81,10.56
4226,-70.963300,42.137400,20.6,20.6,0.03306,0.0,5.19,0,515,6059,37.3,4.8122,5,224,20.2,396.14,8.51
4227,-70.967500,42.144000,19.0,19.0,0.05497,0.0,5.19,0,515,5985,45.4,4.8122,5,224,20.2,396.90,9.74
4228,-70.965000,42.150300,18.7,18.7,0.06151,0.0,5.19,0,515,5968,58.5,4.8122,5,224,20.2,396.90,9.29
4231,-70.887500,42.146500,32.7,32.7,0.01301,35.0,1.52,0,442,7241,49.3,7.0379,1,284,15.5,394.74,5.49
5001,-70.915000,42.160000,16.5,16.5,0.02498,0.0,1.89,0,518,6540,59.7,6.2669,1,422,15.9,389.96,8.65
5011,-70.937000,42.147500,23.9,23.9,0.02543,55.0,3.78,0,484,6696,56.4,5.7321,5,370,17.6,396.90,7.18
5012,-70.932500,42.123000,31.2,31.2,0.03049,55.0,3.78,0,484,6874,28.1,6.4654,5,370,17.6,387.97,4.61
5021,-70.947000,42.072500,17.5,17.5,0.03113,0.0,4.39,0,442,6014,48.5,8.0136,3,352,18.8,385.64,10.53
5022,-70.950100,42.082500,17.2,17.2,0.06162,0.0,4.39,0,442,5898,52.3,8.0136,3,352,18.8,364.61,12.67
5031,-70.927500,42.079500,23.1,23.1,0.01870,85.0,4.15,0,429,6516,27.7,8.5353,4,351,17.9,392.43,6.36
5041,-70.920000,42.101600,24.5,24.5,0.01501,80.0,2.01,0,435,6635,29.7,8.3440,4,280,17.0,390.94,5.99
5051,-70.855000,42.130000,26.6,26.6,0.02899,40.0,1.25,0,429,6939,34.5,8.7921,1,335,19.7,389.85,5.89
5052,-70.833000,42.115000,22.9,22.9,0.06211,40.0,1.25,0,429,6490,44.4,8.7921,1,335,19.7,396.90,5.98
5061,-70.830000,42.077500,24.1,24.1,0.07950,60.0,1.69,0,411,6579,35.9,10.7103,4,411,18.3,370.78,5.49
5062,-70.810000,42.059000,18.6,18.6,0.07244,60.0,1.69,0,411,5884,18.5,10.7103,4,411,18.3,392.33,7.79
5071,-70.830000,42.048500,30.1,30.1,0.01709,90.0,2.02,0,0.41,6728,36.1,12.1265,5,187,17.0,384.46,4.50
5081,-70.853000,42.052000,18.2,18.2,0.04301,80.0,1.91,0,413,5663,21.9,10.5857,4,334,22.0,382.80,8.05
5082,-70.852500,42.030000,20.6,20.6,0.10659,80.0,1.91,0,413,5936,19.5,10.5857,4,334,22.0,376.04,5.57
1,-71.083000,42.217200,17.8,17.8,8.98296,0.0,18.1,1,0.77,6212,97.4,2.1222,24,666,20.2,377.73,17.60
2,-71.095000,42.212000,21.7,21.7,3.84970,0.0,18.1,1,0.77,6395,91.0,2.5052,24,666,20.2,391.34,13.27
3,-71.100700,42.210000,22.7,22.7,5.20177,0.0,18.1,1,0.77,6127,83.4,2.7227,24,666,20.2,395.43,11.48
4,-71.093000,42.207000,22.6,22.6,4.26131,0.0,18.1,0,0.77,6112,81.3,2.5091,24,666,20.2,390.74,12.67
5,-71.090500,42.203300,25.0,25.0,4.54192,0.0,18.1,0,0.77,6398,88.0,2.5182,24,666,20.2,374.56,7.79
6,-71.086500,42.210000,19.9,19.9,3.83684,0.0,18.1,0,0.77,6251,91.1,2.2955,24,666,20.2,350.65,14.19
7,-71.081000,42.208000,20.8,20.8,3.67822,0.0,18.1,0,0.77,5362,96.2,2.1036,24,666,20.2,380.79,10.19
8,-71.086500,42.215000,16.8,16.8,4.22239,0.0,18.1,1,0.77,5803,89.0,1.9047,24,666,20.2,353.04,14.64
101,-71.059000,42.209800,21.9,21.9,3.47428,0.0,18.1,1,718,8780,82.9,1.9047,24,666,20.2,354.55,5.29
102,-71.059500,42.207500,27.5,27.5,4.55587,0.0,18.1,0,718,3561,87.9,1.6132,24,666,20.2,354.70,7.12
104,-71.054000,42.205200,21.9,21.9,3.69695,0.0,18.1,0,718,4963,91.4,1.7523,24,666,20.2,316.03,14.00
105,-71.050800,42.207000,23.1,23.1,13.52220,0.0,18.1,0,631,3863,100.0,1.5106,24,666,20.2,131.42,13.33
107,-71.048000,42.210500,50.0,50.0,4.89822,0.0,18.1,0,631,4970,100.0,1.3325,24,666,20.2,375.52,3.26
108,-71.049700,42.212500,50.0,50.0,5.66998,0.0,18.1,1,631,6683,96.8,1.3567,24,666,20.2,375.33,3.73
201,-71.042200,42.214400,50.0,50.0,6.53876,0.0,18.1,1,631,7016,97.5,1.2024,24,666,20.2,392.05,2.96
202,-71.041700,42.216000,50.0,50.0,9.23230,0.0,18.1,0,631,6216,100.0,1.1691,24,666,20.2,366.15,9.53
203,-71.039700,42.218200,50.0,50.0,8.26725,0.0,18.1,1,668,5875,89.6,1.1296,24,666,20.2,347.88,8.88
301,-71.033900,42.220700,13.8,13.8,11.10810,0.0,18.1,0,668,4906,100.0,1.1742,24,666,20.2,396.90,34.77
302,-71.034600,42.218700,13.8,13.8,18.49820,0.0,18.1,0,668,4138,100.0,1.1370,24,666,20.2,396.90,37.97
401,-71.036700,42.224000,15.0,15.0,19.60910,0.0,18.1,0,671,7313,97.9,1.3163,24,666,20.2,396.90,13.44
402,-71.034000,42.226000,13.9,13.9,15.28800,0.0,18.1,0,671,6649,93.3,1.3449,24,666,20.2,363.02,23.24
403,-71.038000,42.226500,13.3,13.3,9.82349,0.0,18.1,0,671,6794,98.8,1.3580,24,666,20.2,396.90,21.24
404,-71.040000,42.224800,13.1,13.1,23.64820,0.0,18.1,0,671,6380,96.2,1.3861,24,666,20.2,396.90,23.69
405,-71.040000,42.227500,10.2,10.2,17.86670,0.0,18.1,0,671,6223,100.0,1.3861,24,666,20.2,393.74,21.78
406,-71.046000,42.230000,10.4,10.4,88.97620,0.0,18.1,0,671,6968,91.9,1.4165,24,666,20.2,396.90,17.21
407,-71.041000,42.229000,10.9,10.9,15.87440,0.0,18.1,0,671,6545,99.1,1.5192,24,666,20.2,396.90,21.08
501,-71.023000,42.228700,11.3,11.3,9.18702,0.0,18.1,0,0.7,5536,100.0,1.5804,24,666,20.2,396.90,23.60
502,-71.021500,42.227000,12.3,12.3,7.99248,0.0,18.1,0,0.7,5520,100.0,1.5331,24,666,20.2,396.90,24.56
503,-71.024500,42.223500,8.8,8.8,20.08490,0.0,18.1,0,0.7,4368,91.2,1.4395,24,666,20.2,285.83,30.63
504,-71.023500,42.221300,7.2,7.2,16.81180,0.0,18.1,0,0.7,5277,98.1,1.4261,24,666,20.2,396.90,30.81
506,-71.022800,42.223100,10.5,10.5,24.39380,0.0,18.1,0,0.7,4652,100.0,1.4672,24,666,20.2,396.90,28.28
507,-71.021500,42.224800,7.4,7.4,22.59710,0.0,18.1,0,0.7,5000,89.5,1.5184,24,666,20.2,396.90,31.99
508,-71.019500,42.225500,10.2,10.2,14.33370,0.0,18.1,0,0.7,4880,100.0,1.5895,24,666,20.2,372.92,30.62
509,-71.016800,42.228100,11.5,11.5,8.15174,0.0,18.1,0,0.7,5390,98.9,1.7281,24,666,20.2,396.90,20.85
510,-71.010900,42.230000,15.1,15.1,6.96215,0.0,18.1,0,0.7,5713,97.0,1.9265,24,666,20.2,394.43,17.11
511,-71.003500,42.233000,23.2,23.2,5.29305,0.0,18.1,0,0.7,6051,82.5,2.1678,24,666,20.2,378.38,18.76
512,-71.020000,42.220500,9.7,9.7,11.57790,0.0,18.1,0,0.7,5036,97.0,1.7700,24,666,20.2,396.90,25.68
601,-71.016700,42.201000,13.8,13.8,8.64476,0.0,18.1,0,693,6193,92.6,1.7912,24,666,20.2,396.90,15.17
602,-71.020000,42.199300,12.7,12.7,13.35980,0.0,18.1,0,693,5887,94.7,1.7821,24,666,20.2,396.90,16.35
603,-71.022000,42.199600,13.1,13.1,8.71675,0.0,18.1,0,693,6471,98.8,1.7257,24,666,20.2,391.98,17.12
604,-71.026000,42.199300,12.5,12.5,5.87205,0.0,18.1,0,693,6405,96.0,1.6768,24,666,20.2,396.90,19.37
605,-71.025000,42.202400,8.5,8.5,7.67202,0.0,18.1,0,693,5747,98.9,1.6334,24,666,20.2,393.10,19.92
606,-71.023000,42.209000,5.0,5.0,38.35180,0.0,18.1,0,693,5453,100.0,1.4896,24,666,20.2,396.90,30.59
607,-71.033000,42.203200,6.3,6.3,9.91655,0.0,18.1,0,693,5852,77.8,1.5004,24,666,20.2,338.16,29.97
608,-71.032600,42.201100,5.6,5.6,25.04610,0.0,18.1,0,693,5987,100.0,1.5888,24,666,20.2,396.90,26.77
609,-71.030000,42.201500,7.2,7.2,14.23620,0.0,18.1,0,693,6343,100.0,1.5741,24,666,20.2,396.90,20.32
610,-71.030000,42.198800,12.1,12.1,9.59571,0.0,18.1,0,693,6404,100.0,1.6390,24,666,20.2,376.11,20.31
612,-71.033200,42.198000,8.3,8.3,24.80170,0.0,18.1,0,693,5349,96.0,1.7028,24,666,20.2,396.90,19.77
613,-71.034500,42.200100,8.5,8.5,41.52920,0.0,18.1,0,693,5531,85.4,1.6074,24,666,20.2,329.46,27.38
614,-71.032000,42.205700,5.0,5.0,67.92080,0.0,18.1,0,693,5683,100.0,1.4254,24,666,20.2,384.97,22.98
702,-71.039000,42.219800,11.9,11.9,20.71620,0.0,18.1,0,659,4138,100.0,1.1781,24,666,20.2,370.22,23.34
703,-71.042700,42.209000,27.9,27.9,11.95110,0.0,18.1,0,659,5608,100.0,1.2852,24,666,20.2,332.09,12.13
705,-71.043700,42.205000,17.2,17.2,7.40389,0.0,18.1,0,597,5617,97.9,1.4547,24,666,20.2,314.64,26.40
706,-71.045500,42.206000,27.5,27.5,14.43830,0.0,18.1,0,597,6852,100.0,1.4655,24,666,20.2,179.36,19.78
707,-71.046200,42.207500,15.0,15.0,51.13580,0.0,18.1,0,597,5757,100.0,1.4130,24,666,20.2,2.60,10.11
708,-71.048700,42.204800,17.2,17.2,14.05070,0.0,18.1,0,597,6657,100.0,1.5275,24,666,20.2,35.05,21.22
