cars_per_hour,temperature_at_2m,wind_speed,temperature_diff_2m_25m,wind_direction,hour_of_day,day,pm10_concentration
6.67456,2.2,7.1,0.1,37.9,6,557,3.09104
8.09316,-4.7,1.4,1.2,276.8,18,445,4.41884
6.56667,0.1,2.1,-0.2,247.4,6,543,2.89037
5.83481,-5.8,7.7,0.1,47,7,90,1.09861
7794,3.3,4.3,0.8,217,17,105,3.43399
7.76089,2,1.7,1.1,234,15,121,3.52636
7.67276,1.3,4.2,0.2,169,10,61,3.13549
7979,1.4,5,-0.1,40.7,9,480,2.19722
7.78406,6.1,1.9,0.4,171,21,210,3.13549
5.95842,-3.1,4.2,-0.1,52.5,2,426,2.07944
4.54329,-11.5,1.7,3.7,90.4,4,465,3.63759
5.62762,-6.6,1,-0.1,200,2,445,3.73767
5.66643,-3.8,2.1,0.6,73,3,77,2.48491
7.54539,6.5,9.4,-0.9,250,11,160,1.94591
6.23832,-0.4,3.3,0.3,215.1,24,470,1.94591
4.56435,-6.3,2,2.3,223,3,148,2.77259
6.58203,2.2,1.8,0.1,64.2,6,549,2.70805
5.31321,-4.9,4.2,0.3,353,2,117,1.79176
5.61677,-1.3,2.8,-0.1,65.2,1,486,2.30259
7.7111,-5.1,0.7,0.3,60,10,99,4.11087
6.2519,0.1,1,0.2,87,24,111,3.4012
7.85516,6.5,5.2,-0.2,69,19,196,3.68888
8.24512,8.6,1.6,-1,258.8,15,530,4.17439
